year,n_alive
2020,49286833.2398347
2021,50127275.5079933
2022,51009369.2102209
2023,51935833.8666679
2024,52909652.8164015
2025,53934105.3068797
2026,55012803.2329047
2027,56149733.263234
2028,57349305.2166268
2029,58616407.6940265
2030,59956472.1435604
